LAST SEEN   TYPE      REASON                   OBJECT                                          MESSAGE
26m         Normal    Created                  pod/drasi-resource-provider-587fbbb564-cpc2n    Created container: daprd
26m         Normal    Created                  pod/drasi-mongo-0                               Created container: mongo
26m         Normal    Pulled                   pod/drasi-api-6cbd7ccbd5-r9g6h                  Successfully pulled image "ghcr.io/drasi-project/api:0.10.0" in 761ms (761ms including waiting). Image size: 19666209 bytes.
26m         Normal    Pulled                   pod/drasi-resource-provider-587fbbb564-cpc2n    Container image "daprio/daprd:1.14.5" already present on machine
26m         Normal    Pulled                   pod/drasi-resource-provider-587fbbb564-cpc2n    Successfully pulled image "ghcr.io/drasi-project/kubernetes-provider:0.10.0" in 763ms (763ms including waiting). Image size: 16090037 bytes.
26m         Normal    Started                  pod/drasi-mongo-0                               Started container mongo
26m         Normal    SuccessfulDelete         statefulset/drasi-mongo                         delete Pod drasi-mongo-0 in StatefulSet drasi-mongo successful
26m         Normal    ScalingReplicaSet        deployment/drasi-api                            Scaled down replica set drasi-api-6cbd7ccbd5 from 1 to 0
26m         Normal    SuccessfulDelete         replicaset/drasi-api-6cbd7ccbd5                 Deleted pod: drasi-api-6cbd7ccbd5-r9g6h
26m         Normal    Killing                  pod/drasi-resource-provider-587fbbb564-cpc2n    Stopping container kubernetes-provider
26m         Normal    Killing                  pod/drasi-mongo-0                               Stopping container mongo
26m         Normal    Killing                  pod/drasi-api-6cbd7ccbd5-r9g6h                  Stopping container drasi-api
26m         Normal    Killing                  pod/drasi-api-6cbd7ccbd5-r9g6h                  Stopping container daprd
26m         Normal    Killing                  pod/drasi-resource-provider-587fbbb564-cpc2n    Stopping container daprd
26m         Normal    SuccessfulCreate         statefulset/drasi-mongo                         create Pod drasi-mongo-0 in StatefulSet drasi-mongo successful
